Lizard,year,date,aggression,boldness,sex,avgmass,trialnum,assayyear,yrsinsite,avgbothNymph_Larva,avgtotal
2,2015,10/6/2015,5,-0.195732794,0,755.6,1,1,1,6,8
2,2015,10/21/2015,5,-1.4138571,0,755.6,2,1,1,5.333333333,7.333333333
2,2015,11/4/2015,5,-1.007815665,0,755.6,3,1,1,5,7.25
13,2015,10/7/2015,2,-2.22593997,1,705,1,1,1,4.5,5
13,2015,10/22/2015,2,-0.60177423,1,705,2,1,1,4,4.333333333
13,2015,11/6/2015,2,0.210308641,1,705,3,1,1,3,4
13,2017,9/19/2017,3,-1.753034488,1,681.6666667,1,2,3,0,2
13,2017,10/2/2017,5,1.463141109,1,681.6666667,2,2,3,106,108
13,2017,11/28/2017,5,0.927111843,1,681.6666667,3,2,3,77.16666667,78.33333333
24,2014,10/15/2014,5,1.990264129,1,572.5,1,1,1,0,4
24,2014,11/11/2014,5,1.029086702,1,572.5,2,1,1,0,4.25
24,2015,9/28/2015,5,1.022391511,1,669.4,1,2,2,1,3.5
24,2015,10/13/2015,5,0.616350076,1,669.4,2,2,2,1.333333333,5.333333333
24,2015,10/27/2015,5,0.616350076,1,669.4,3,2,2,2,5.75
102,2014,10/15/2014,3,1.029086702,0,660,1,1,1,7.5,10
102,2014,11/11/2014,5,1.029086702,0,660,2,1,1,6.75,9.5
102,2015,10/1/2015,9,0.616350076,0,661.6,1,2,2,0.5,5
102,2015,10/16/2015,3,0.616350076,0,661.6,2,2,2,0.666666667,4
102,2015,10/30/2015,9,0.616350076,0,661.6,3,2,2,0.75,3.75
121,2015,10/21/2015,11,0.616350076,1,697,1,1,1,0,3
121,2015,11/4/2015,5,-0.60177423,1,697,2,1,1,0,2
877,2015,10/5/2015,11,0.616350076,0,647,1,1,1,0,2
877,2015,10/21/2015,11,-1.819898535,0,647,2,1,1,0,1.666666667
877,2015,11/4/2015,11,-0.195732794,0,647,3,1,1,0,1.5
927,2017,9/25/2017,2,-0.144946689,0,657.8,1,1,1,0,1
927,2017,10/9/2017,2,-0.144946689,0,657.8,2,1,1,0,1
927,2017,12/5/2017,5,-1.753034488,0,657.8,3,1,1,0.166666667,1
1001,2017,9/25/2017,2,-1.217005222,0,797.4,1,1,1,0,5
1001,2017,10/9/2017,1,0.927111843,0,797.4,2,1,1,0,5
1001,2017,12/4/2017,3,0.927111843,0,797.4,3,1,1,0,3.5
1247,2016,11/21/2016,1,1.232984704,1,589.6666667,1,1,1,5,6.5
1247,2017,9/21/2017,5,1.463141109,1,602.5,1,2,2,0,2
1247,2017,10/4/2017,2,1.463141109,1,602.5,2,2,2,1,2.5
1247,2017,11/30/2017,5,-0.144946689,1,602.5,3,2,2,0.666666667,1.333333333
2368,2010,10/20/2010,11,1.141746454,1,787,1,1,1,27.75,28
2368,2010,10/31/2010,11,1.141746454,1,787,2,1,1,26.2,26.4
2368,2010,11/21/2010,11,1.141746454,1,787,3,1,1,20.14285714,20.42857143
2368,2011,10/12/2011,11,NA,1,812,1,2,2,0,1
2368,2011,11/4/2011,8,NA,1,812,2,2,2,0,0.75
2378,2014,10/16/2014,11,1.990264129,1,736.6666667,1,1,1,3,3.5
2378,2014,11/13/2014,11,0.067909275,1,736.6666667,2,1,1,3,3.75
2378,2016,11/24/2016,5,0.093968811,1,714.3333333,1,2,3,0,1.666666667
2378,2017,9/22/2017,11,-0.144946689,1,727.6,1,3,4,0,0
2378,2017,10/5/2017,1,-0.144946689,1,727.6,2,3,4,0,0
2378,2017,12/4/2017,11,-0.144946689,1,727.6,3,3,4,0,0.333333333
2408,2010,9/18/2010,5,-0.100032167,1,756.6666667,1,1,1,0.666666667,4
